ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
01/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,490
01/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,498
01/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,753
01/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,688
01/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,401535
01/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,389745
01/01/2006 12:00:00 AM,Terminal 1,Departure,International,561
01/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,98991
01/01/2006 12:00:00 AM,Terminal 2,Arrival,International,163067
01/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,93672
01/01/2006 12:00:00 AM,Terminal 2,Departure,International,156751
01/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,121649
01/01/2006 12:00:00 AM,Terminal 3,Arrival,International,26585
01/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,120111
01/01/2006 12:00:00 AM,Terminal 3,Departure,International,60948
01/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,381419
01/01/2006 12:00:00 AM,Terminal 4,Arrival,International,68348
01/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,374238
01/01/2006 12:00:00 AM,Terminal 4,Departure,International,42256
01/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,135622
01/01/2006 12:00:00 AM,Terminal 5,Arrival,International,32634
01/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,128138
01/01/2006 12:00:00 AM,Terminal 5,Departure,International,25531
01/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,195820
01/01/2006 12:00:00 AM,Terminal 6,Arrival,International,6190
01/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,195765
01/01/2006 12:00:00 AM,Terminal 6,Departure,International,5567
01/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,240807
01/01/2006 12:00:00 AM,Terminal 7,Arrival,International,36658
01/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,231679
01/01/2006 12:00:00 AM,Terminal 7,Departure,International,43104
01/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,101253
01/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,100406
01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2658
01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,410940
01/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,361082
02/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,200
02/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,166
02/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,214
02/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,183
02/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,350829
02/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,346828
02/01/2006 12:00:00 AM,Terminal 1,Departure,International,575
02/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,88549
02/01/2006 12:00:00 AM,Terminal 2,Arrival,International,135504
02/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,87518
02/01/2006 12:00:00 AM,Terminal 2,Departure,International,135798
02/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,115531
02/01/2006 12:00:00 AM,Terminal 3,Arrival,International,24681
02/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,115461
02/01/2006 12:00:00 AM,Terminal 3,Departure,International,56437
02/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,341132
02/01/2006 12:00:00 AM,Terminal 4,Arrival,International,59514
02/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,340906
02/01/2006 12:00:00 AM,Terminal 4,Departure,International,37848
02/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,119847
02/01/2006 12:00:00 AM,Terminal 5,Arrival,International,26363
02/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,121053
02/01/2006 12:00:00 AM,Terminal 5,Departure,International,25875
02/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,179516
02/01/2006 12:00:00 AM,Terminal 6,Arrival,International,5816
02/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,182833
02/01/2006 12:00:00 AM,Terminal 6,Departure,International,3839
02/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,226341
